Lang Group	Locale	Code	~LPop (M)	Target	Feature	Scope	Categories
Germanic	Afrikaans	af	9.0	nominal	None		
Germanic	Danish	da	7.0	nominal	grammaticalCase	general	genitive nominative
Germanic	Danish	da	7.0	nominal	grammaticalCase	units	游릻general scope
Germanic	Danish	da	7.0	nominal	grammaticalDefiniteness	general	definite indefinite unspecified
Germanic	Danish	da	7.0	nominal	grammaticalDefiniteness	units	游릻general scope
Germanic	Danish	da	7.0	nominal	grammaticalGender	general	common neuter
Germanic	Danish	da	7.0	nominal	grammaticalGender	units	游릻general scope
Germanic	German	de	130	nominal	grammaticalCase	general	accusative dative genitive nominative
Germanic	German	de	130	nominal	grammaticalCase	units	游릻general scope
Germanic	German	de	130	nominal	grammaticalGender	general	feminine masculine neuter
Germanic	German	de	130	nominal	grammaticalGender	units	游릻general scope
Germanic	English	en	1,300	nominal	None		
Germanic	Icelandic	is	0.35	nominal	grammaticalCase	general	accusative dative genitive nominative
Germanic	Icelandic	is	0.35	nominal	grammaticalCase	units	游릻general scope
Germanic	Icelandic	is	0.35	nominal	grammaticalDefiniteness	general	definite indefinite
Germanic	Icelandic	is	0.35	nominal	grammaticalDefiniteness	units	游릻general scope
Germanic	Icelandic	is	0.35	nominal	grammaticalGender	general	feminine masculine neuter
Germanic	Icelandic	is	0.35	nominal	grammaticalGender	units	游릻general scope
Germanic	Norwegian Bokm친l	nb	5.5	nominal	grammaticalCase	general	genitive nominative
Germanic	Norwegian Bokm친l	nb	5.5	nominal	grammaticalCase	units	游릻general scope
Germanic	Norwegian Bokm친l	nb	5.5	nominal	grammaticalDefiniteness	general	definite indefinite
Germanic	Norwegian Bokm친l	nb	5.5	nominal	grammaticalDefiniteness	units	游릻general scope
Germanic	Norwegian Bokm친l	nb	5.5	nominal	grammaticalGender	general	feminine masculine neuter
Germanic	Norwegian Bokm친l	nb	5.5	nominal	grammaticalGender	units	游릻general scope
Germanic	Dutch	nl	31	nominal	grammaticalGender	general	common neuter
Germanic	Dutch	nl	31	nominal	grammaticalGender	units	游릻general scope
Germanic	Norwegian Nynorsk	nn	1.4	nominal	grammaticalCase	general	genitive nominative
Germanic	Norwegian Nynorsk	nn	1.4	nominal	grammaticalCase	units	游릻general scope
Germanic	Norwegian Nynorsk	nn	1.4	nominal	grammaticalDefiniteness	general	definite indefinite
Germanic	Norwegian Nynorsk	nn	1.4	nominal	grammaticalDefiniteness	units	游릻general scope
Germanic	Norwegian Nynorsk	nn	1.4	nominal	grammaticalGender	general	feminine masculine neuter
Germanic	Norwegian Nynorsk	nn	1.4	nominal	grammaticalGender	units	游릻general scope
Germanic	Norwegian	no	5.5	nominal	grammaticalCase	general	genitive nominative
Germanic	Norwegian	no	5.5	nominal	grammaticalCase	units	游릻general scope
Germanic	Norwegian	no	5.5	nominal	grammaticalDefiniteness	general	definite indefinite
Germanic	Norwegian	no	5.5	nominal	grammaticalDefiniteness	units	游릻general scope
Germanic	Norwegian	no	5.5	nominal	grammaticalGender	general	feminine masculine neuter
Germanic	Norwegian	no	5.5	nominal	grammaticalGender	units	游릻general scope
Germanic	Swedish	sv	13	nominal	grammaticalCase	general	genitive nominative
Germanic	Swedish	sv	13	nominal	grammaticalCase	units	游릻general scope
Germanic	Swedish	sv	13	nominal	grammaticalDefiniteness	general	definite indefinite
Germanic	Swedish	sv	13	nominal	grammaticalDefiniteness	units	游릻general scope
Germanic	Swedish	sv	13	nominal	grammaticalGender	general	common neuter
Germanic	Swedish	sv	13	nominal	grammaticalGender	units	游릻general scope
Celtic	Welsh	cy	0.88	Unavailable			
Celtic	Irish	ga	1.2	Unavailable			
Celtic	Scottish Gaelic	gd	0.072	Unavailable			
Romance	Catalan	ca	8.5	nominal	grammaticalGender	general	feminine masculine
Romance	Catalan	ca	8.5	nominal	grammaticalGender	units	游릻general scope
Romance	Spanish	es	470	nominal	grammaticalGender	general	feminine masculine
Romance	Spanish	es	470	nominal	grammaticalGender	units	游릻general scope
Romance	French	fr	220	nominal	grammaticalGender	general	feminine masculine
Romance	French	fr	220	nominal	grammaticalGender	units	游릻general scope
Romance	Galician	gl	3.4	Unavailable			
Romance	Italian	it	69	nominal	grammaticalGender	general	feminine masculine
Romance	Italian	it	69	nominal	grammaticalGender	units	游릻general scope
Romance	Portuguese	pt	210	nominal	grammaticalGender	general	feminine masculine
Romance	Portuguese	pt	210	nominal	grammaticalGender	units	游릻general scope
Romance	Romanian	ro	22	nominal	grammaticalCase	general	genitive nominative
Romance	Romanian	ro	22	nominal	grammaticalCase	units	游릻general scope
Romance	Romanian	ro	22	nominal	grammaticalDefiniteness	general	definite indefinite
Romance	Romanian	ro	22	nominal	grammaticalDefiniteness	units	游릻general scope
Romance	Romanian	ro	22	nominal	grammaticalGender	general	feminine masculine neuter
Romance	Romanian	ro	22	nominal	grammaticalGender	units	游릻general scope
Slavic	Belarusian	be	10	Unavailable			
Slavic	Bulgarian	bg	7.7	Unavailable			
Slavic	Bosnian	bs	7.4	Unavailable			
Slavic	Czech	cs	13	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Slavic	Czech	cs	13	nominal	grammaticalCase	units	accusative dative genitive instrumental locative nominative
Slavic	Czech	cs	13	nominal	grammaticalGender	general	animate feminine inanimate neuter
Slavic	Czech	cs	13	nominal	grammaticalGender	units	feminine inanimate neuter
Slavic	Croatian	hr	6.7	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Slavic	Croatian	hr	6.7	nominal	grammaticalCase	units	accusative genitive instrumental nominative
Slavic	Croatian	hr	6.7	nominal	grammaticalGender	general	animate feminine inanimate neuter
Slavic	Croatian	hr	6.7	nominal	grammaticalGender	units	feminine inanimate neuter
Slavic	Macedonian	mk	1.6	Unavailable			
Slavic	Polish	pl	41	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Slavic	Polish	pl	41	nominal	grammaticalCase	units	accusative genitive nominative
Slavic	Polish	pl	41	nominal	grammaticalGender	general	animate feminine inanimate neuter personal
Slavic	Polish	pl	41	nominal	grammaticalGender	units	feminine inanimate neuter
Slavic	Russian	ru	200	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative prepositional vocative
Slavic	Russian	ru	200	nominal	grammaticalCase	units	accusative dative genitive instrumental nominative prepositional
Slavic	Russian	ru	200	nominal	grammaticalGender	general	feminine masculine neuter
Slavic	Russian	ru	200	nominal	grammaticalGender	units	游릻general scope
Slavic	Slovak	sk	6.6	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Slavic	Slovak	sk	6.6	nominal	grammaticalCase	units	accusative dative genitive instrumental locative nominative
Slavic	Slovak	sk	6.6	nominal	grammaticalGender	general	animate feminine inanimate neuter
Slavic	Slovak	sk	6.6	nominal	grammaticalGender	units	feminine inanimate neuter
Slavic	Slovenian	sl	2.0	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative
Slavic	Slovenian	sl	2.0	nominal	grammaticalCase	units	游릻general scope
Slavic	Slovenian	sl	2.0	nominal	grammaticalGender	general	feminine masculine neuter
Slavic	Slovenian	sl	2.0	nominal	grammaticalGender	units	游릻general scope
Slavic	Serbian	sr	15	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Slavic	Serbian	sr	15	nominal	grammaticalCase	units	accusative genitive instrumental nominative
Slavic	Serbian	sr	15	nominal	grammaticalGender	general	animate feminine inanimate neuter
Slavic	Serbian	sr	15	nominal	grammaticalGender	units	feminine inanimate neuter
Slavic	Ukrainian	uk	29	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Slavic	Ukrainian	uk	29	nominal	grammaticalCase	units	accusative dative genitive instrumental locative nominative
Slavic	Ukrainian	uk	29	nominal	grammaticalGender	general	feminine masculine neuter
Slavic	Ukrainian	uk	29	nominal	grammaticalGender	units	游릻general scope
Baltic	Lithuanian	lt	2.5	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Baltic	Lithuanian	lt	2.5	nominal	grammaticalCase	units	accusative dative genitive instrumental locative nominative
Baltic	Lithuanian	lt	2.5	nominal	grammaticalGender	general	feminine masculine
Baltic	Lithuanian	lt	2.5	nominal	grammaticalGender	units	游릻general scope
Baltic	Latvian	lv	1.1	nominal	grammaticalCase	general	accusative dative genitive locative nominative vocative
Baltic	Latvian	lv	1.1	nominal	grammaticalCase	units	accusative dative genitive locative nominative
Baltic	Latvian	lv	1.1	nominal	grammaticalGender	general	feminine masculine
Baltic	Latvian	lv	1.1	nominal	grammaticalGender	units	游릻general scope
Indic	Assamese	as	11	Unavailable			
Indic	Bangla	bn	160	nominal	grammaticalCase	general	accusative genitive locative nominative
Indic	Bangla	bn	160	nominal	grammaticalCase	units	None
Indic	Bangla	bn	160	nominal	grammaticalDefiniteness	general	definite indefinite
Indic	Bangla	bn	160	nominal	grammaticalDefiniteness	units	游릻general scope
Indic	Gujarati	gu	40	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Indic	Gujarati	gu	40	nominal	grammaticalCase	units	None
Indic	Gujarati	gu	40	nominal	grammaticalGender	general	feminine masculine neuter
Indic	Gujarati	gu	40	nominal	grammaticalGender	units	None
Indic	Hindi	hi	340	nominal	grammaticalCase	general	nominative oblique
Indic	Hindi	hi	340	nominal	grammaticalCase	units	游릻general scope
Indic	Hindi	hi	340	nominal	grammaticalGender	general	feminine masculine
Indic	Hindi	hi	340	nominal	grammaticalGender	units	游릻general scope
Indic	Konkani	kok	3.1	Unavailable			
Indic	Marathi	mr	58	nominal	grammaticalCase	general	ablative accusative dative ergative genitive locative nominative
Indic	Marathi	mr	58	nominal	grammaticalCase	units	游릻general scope
Indic	Marathi	mr	58	nominal	grammaticalGender	general	feminine masculine neuter
Indic	Marathi	mr	58	nominal	grammaticalGender	units	游릻general scope
Indic	Nepali	ne	12	nominal	None		
Indic	Odia	or	27	Unavailable			
Indic	Punjabi	pa	120	nominal	grammaticalCase	general	nominative oblique
Indic	Punjabi	pa	120	nominal	grammaticalCase	units	游릻general scope
Indic	Punjabi	pa	120	nominal	grammaticalGender	general	feminine masculine
Indic	Punjabi	pa	120	nominal	grammaticalGender	units	游릻general scope
Indic	Sindhi	sd	23	Unavailable			
Indic	Sinhala	si	14	nominal	grammaticalCase	general	ablative accusative dative genitive nominative
Indic	Sinhala	si	14	nominal	grammaticalCase	units	None
Indic	Sinhala	si	14	nominal	grammaticalDefiniteness	general	definite indefinite
Indic	Sinhala	si	14	nominal	grammaticalDefiniteness	units	游릻general scope
Indic	Sinhala	si	14	nominal	grammaticalGender	general	feminine masculine neuter
Indic	Sinhala	si	14	nominal	grammaticalGender	units	None
Indic	Urdu	ur	170	nominal	grammaticalCase	general	nominative oblique
Indic	Urdu	ur	170	nominal	grammaticalCase	units	None
Indic	Urdu	ur	170	nominal	grammaticalGender	general	feminine masculine
Indic	Urdu	ur	170	nominal	grammaticalGender	units	游릻general scope
Iranian	Persian	fa	61	nominal	grammaticalDefiniteness	general	construct definite indefinite
Iranian	Persian	fa	61	nominal	grammaticalDefiniteness	units	游릻general scope
Iranian	Pashto	ps	25	Unavailable			
Other Indo-European	Greek	el	12	nominal	grammaticalCase	general	accusative genitive nominative vocative
Other Indo-European	Greek	el	12	nominal	grammaticalCase	units	accusative genitive nominative
Other Indo-European	Greek	el	12	nominal	grammaticalGender	general	feminine masculine neuter
Other Indo-European	Greek	el	12	nominal	grammaticalGender	units	游릻general scope
Other Indo-European	Armenian	hy	4.6	nominal	grammaticalCase	general	ablative dative instrumental locative nominative
Other Indo-European	Armenian	hy	4.6	nominal	grammaticalCase	units	游릻general scope
Other Indo-European	Albanian	sq	6.5	Unavailable			
Caucasian	Georgian	ka	3.5	Unavailable			
Dravidian	Kannada	kn	31	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Dravidian	Kannada	kn	31	nominal	grammaticalCase	units	accusative dative genitive locative nominative
Dravidian	Kannada	kn	31	nominal	grammaticalGender	general	feminine masculine neuter
Dravidian	Kannada	kn	31	nominal	grammaticalGender	units	neuter
Dravidian	Malayalam	ml	27	nominal	grammaticalCase	general	accusative comitative dative genitive instrumental locative locativecopulative nominative sociative
Dravidian	Malayalam	ml	27	nominal	grammaticalCase	units	None
Dravidian	Malayalam	ml	27	nominal	grammaticalGender	general	animate feminine inanimate neuter
Dravidian	Malayalam	ml	27	nominal	grammaticalGender	units	None
Dravidian	Tamil	ta	56	nominal	grammaticalCase	general	ablative accusative dative genitive instrumental locative nominative vocative
Dravidian	Tamil	ta	56	nominal	grammaticalCase	units	ablative accusative dative nominative
Dravidian	Telugu	te	60	nominal	grammaticalCase	general	accusative dative instrumental locative nominative oblique
Dravidian	Telugu	te	60	nominal	grammaticalCase	units	None
Uralic	Estonian	et	0.88	Unavailable			
Uralic	Finnish	fi	5.7	nominal	grammaticalCase	general	abessive ablative adessive allative comitative elative essive genitive illative inessive instrumental nominative partitive translative
Uralic	Finnish	fi	5.7	nominal	grammaticalCase	units	elative genitive illative nominative partitive
Uralic	Hungarian	hu	12	nominal	grammaticalCase	general	ablative accusative adessive allative causal dative delative elative essive illative inessive instrumental nominative sublative superessive terminative translative
Uralic	Hungarian	hu	12	nominal	grammaticalCase	units	accusative instrumental nominative terminative translative
CJK	Japanese	ja	120	nominal	None		
CJK	Korean	ko	77	nominal	None		
CJK	Cantonese	yue	76	Unavailable			
CJK	Chinese	zh	1,200	nominal	None		
Sino-Tibetan	Burmese	my	34	nominal	None		
Tai	Lao	lo	3.7	nominal	None		
Tai	Thai	th	51	nominal	None		
Austronesian	Filipino	fil	64	nominal	None		
Austronesian	Indonesian	id	160	nominal	grammaticalDefiniteness	general	definite indefinite
Austronesian	Indonesian	id	160	nominal	grammaticalDefiniteness	units	游릻general scope
Austronesian	Javanese	jv	9.4	Unavailable			
Austronesian	M캐ori	mi	0.14	Unavailable			
Austronesian	Malay	ms	35	nominal	None		
Turkic	Azerbaijani	az	29	nominal	grammaticalCase	general	ablative accusative dative genitive locative nominative
Turkic	Azerbaijani	az	29	nominal	grammaticalCase	units	None
Turkic	Kazakh	kk	14	nominal	grammaticalCase	general	ablative accusative dative genitive instrumental locative nominative
Turkic	Kazakh	kk	14	nominal	grammaticalCase	units	None
Turkic	Kyrgyz	ky	3.3	nominal	grammaticalCase	general	ablative accusative dative genitive locative nominative
Turkic	Kyrgyz	ky	3.3	nominal	grammaticalCase	units	None
Turkic	Turkmen	tk	6.1	Unavailable			
Turkic	Turkish	tr	76	nominal	grammaticalCase	general	ablative accusative dative genitive instrumental locative nominative
Turkic	Turkish	tr	76	nominal	grammaticalCase	units	None
Turkic	Uzbek	uz	31	nominal	grammaticalCase	general	ablative accusative dative genitive locative nominative
Turkic	Uzbek	uz	31	nominal	grammaticalCase	units	None
Afro-Asiatic	Amharic	am	14	nominal	grammaticalCase	general	accusative nominative
Afro-Asiatic	Amharic	am	14	nominal	grammaticalCase	units	游릻general scope
Afro-Asiatic	Amharic	am	14	nominal	grammaticalDefiniteness	general	definite indefinite
Afro-Asiatic	Amharic	am	14	nominal	grammaticalDefiniteness	units	游릻general scope
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalCase	general	accusative genitive nominative
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalCase	units	None
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalDefiniteness	general	construct definite indefinite
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalDefiniteness	units	游릻general scope
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalGender	general	feminine masculine
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalGender	units	游릻general scope
Afro-Asiatic	Hausa	ha	22	Unavailable			
Afro-Asiatic	Hebrew	he	8.4	nominal	grammaticalDefiniteness	general	construct definite indefinite
Afro-Asiatic	Hebrew	he	8.4	nominal	grammaticalDefiniteness	units	游릻general scope
Afro-Asiatic	Hebrew	he	8.4	nominal	grammaticalGender	general	feminine masculine
Afro-Asiatic	Hebrew	he	8.4	nominal	grammaticalGender	units	游릻general scope
Afro-Asiatic	Somali	so	7.0	Unavailable			
Austro-Asiatic	Khmer	km	11	Unavailable			
Austro-Asiatic	Vietnamese	vi	81	nominal	None		
Niger-Kordofanian	Igbo	ig	17	Unavailable			
Niger-Kordofanian	Swahili	sw	120	Unavailable			
Niger-Kordofanian	Yoruba	yo	17	Unavailable			
Niger-Kordofanian	Zulu	zu	7.1	Unavailable			
Other	Basque	eu	1.1	Unavailable			
Other	Mongolian	mn	6.3	Unavailable			
Other	Nigerian Pidgin	pcm	28	Unavailable			
