#locale	present	missing
am	304	90	[]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
ar	79	45	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]	[]
ca	63	45	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]	[]
cs	1184	585	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
da	79	29	[cubic-kilometer, cubic-meter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, microgram, micrometer, microsecond, milliampere, millibar, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, square-meter]	[]	[]
de	762	175	[cubic-kilometer, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, microgram, micrometer, microsecond, milliampere, millibar, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter]	[cubic-kilometer, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, microgram, micrometer, microsecond, milliampere, millibar, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter]	[]
el	503	225	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
es	85	27	[decimeter, gigahertz, gigawatt, hectopascal, kilohertz, kilojoule, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, microgram, micrometer, microsecond, milliampere, millibar, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter]	[]	[power2, power3]
fi	510	278	[]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, day-person, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
fr	79	33	[cubic-kilometer, cubic-meter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, microgram, micrometer, microsecond, milliampere, millibar, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, square-meter]	[]	[power2, power3]
he	71	45	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]	[]
hi	418	92	[cubic-kilometer, cubic-meter, day-person, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, microgram, micrometer, microsecond, milliampere, millibar, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, square-meter]	[cubic-kilometer, cubic-meter, day-person, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, microgram, micrometer, microsecond, milliampere, millibar, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, square-meter]	[]
hr	903	450	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
hu	625	360	[]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
hy	615	370	[]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, day-person, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
is	622	315	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
it	82	30	[decimeter, gigahertz, gigawatt, hectopascal, kilohertz, kilojoule, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, microgram, micrometer, microsecond, milliampere, millibar, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, square-meter]	[]	[power2, power3]
kn	797	508	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, day-person, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, day-person, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
lt	1584	970	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, day-person, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[centiliter, centimeter, cubic-centimeter, cubic-kilometer, cubic-meter, day-person, deciliter, decimeter, gigahertz, gigawatt, hectoliter, hectopascal, kilohertz, kilojoule, kilometer, kilometer-per-hour, kilopascal, kilowatt, kilowatt-hour, kilowatt-hour-per-100-kilometer, liter-per-100-kilometer, liter-per-kilometer, megahertz, megaliter, megapascal, megawatt, meter-per-second, meter-per-square-second, microgram, micrometer, microsecond, milliampere, millibar, milligram, milliliter, millimeter, millimole-per-liter, millisecond, milliwatt, nanometer, nanosecond, newton-meter, picometer, square-centimeter, square-kilometer, square-meter]	[]
